cases,null_hypo,alt_hypo,sims,perms,power
2,0.75,0.85,5e3,5e4,0.498
3,0.75,0.85,5e3,5e4,0.3512
4,0.75,0.85,5e3,5e4,0.2804
5,0.75,0.85,5e3,5e4,0.2322
6,0.75,0.85,5e3,5e4,0.215
7,0.75,0.85,5e3,5e4,0.2118
8,0.75,0.85,5e3,5e4,0.214
9,0.75,0.85,5e3,5e4,0.207
10,0.75,0.85,5e3,5e4,0.22
11,0.75,0.85,5e3,5e4,0.2226
12,0.75,0.85,5e3,5e4,0.241
13,0.75,0.85,5e3,5e4,0.2416
14,0.75,0.85,5e3,5e4,0.254
15,0.75,0.85,5e3,5e4,0.2516
16,0.75,0.85,5e3,5e4,0.2698
17,0.75,0.85,5e3,5e4,0.2722
18,0.75,0.85,5e3,5e4,0.284
19,0.75,0.85,5e3,5e4,0.2862
20,0.75,0.85,5e3,5e4,0.3058
21,0.75,0.85,5e3,5e4,0.3014
22,0.75,0.85,5e3,5e4,0.3148
23,0.75,0.85,5e3,5e4,0.32
24,0.75,0.85,5e3,5e4,0.3284
25,0.75,0.85,5e3,5e4,0.3452
26,0.75,0.85,5e3,5e4,0.3564
27,0.75,0.85,5e3,5e4,0.3616
28,0.75,0.85,5e3,5e4,0.3824
29,0.75,0.85,5e3,5e4,0.3818
30,0.75,0.85,5e3,5e4,0.382
31,0.75,0.85,5e3,5e4,0.3858
32,0.75,0.85,5e3,5e4,0.395
33,0.75,0.85,5e3,5e4,0.4138
34,0.75,0.85,5e3,5e4,0.4076
35,0.75,0.85,5e3,5e4,0.4256
36,0.75,0.85,5e3,5e4,0.4292
37,0.75,0.85,5e3,5e4,0.4314
38,0.75,0.85,5e3,5e4,0.4392
39,0.75,0.85,5e3,5e4,0.4512
40,0.75,0.85,5e3,5e4,0.4536
41,0.75,0.85,5e3,5e4,0.4714
42,0.75,0.85,5e3,5e4,0.4744
43,0.75,0.85,5e3,5e4,0.4842
44,0.75,0.85,5e3,5e4,0.4878
45,0.75,0.85,5e3,5e4,0.5004
46,0.75,0.85,5e3,5e4,0.492
47,0.75,0.85,5e3,5e4,0.5052
48,0.75,0.85,5e3,5e4,0.5038
49,0.75,0.85,5e3,5e4,0.5132
50,0.75,0.85,5e3,5e4,0.5136
51,0.75,0.85,5e3,5e4,0.5354
52,0.75,0.85,5e3,5e4,0.5356
53,0.75,0.85,5e3,5e4,0.5412
54,0.75,0.85,5e3,5e4,0.5336
55,0.75,0.85,5e3,5e4,0.5428
56,0.75,0.85,5e3,5e4,0.543
57,0.75,0.85,5e3,5e4,0.5564
58,0.75,0.85,5e3,5e4,0.5596
59,0.75,0.85,5e3,5e4,0.5768
60,0.75,0.85,5e3,5e4,0.5696
61,0.75,0.85,5e3,5e4,0.571
62,0.75,0.85,5e3,5e4,0.5806
63,0.75,0.85,5e3,5e4,0.5778
64,0.75,0.85,5e3,5e4,0.5946
65,0.75,0.85,5e3,5e4,0.5924
66,0.75,0.85,5e3,5e4,0.6
67,0.75,0.85,5e3,5e4,0.599
68,0.75,0.85,5e3,5e4,0.6114
69,0.75,0.85,5e3,5e4,0.6122
70,0.75,0.85,5e3,5e4,0.6176
71,0.75,0.85,5e3,5e4,0.6224
72,0.75,0.85,5e3,5e4,0.6214
73,0.75,0.85,5e3,5e4,0.6158
74,0.75,0.85,5e3,5e4,0.6352
75,0.75,0.85,5e3,5e4,0.6364
76,0.75,0.85,5e3,5e4,0.6222
77,0.75,0.85,5e3,5e4,0.6422
78,0.75,0.85,5e3,5e4,0.6536
79,0.75,0.85,5e3,5e4,0.646
80,0.75,0.85,5e3,5e4,0.6546
81,0.75,0.85,5e3,5e4,0.6604
82,0.75,0.85,5e3,5e4,0.6596
83,0.75,0.85,5e3,5e4,0.683
84,0.75,0.85,5e3,5e4,0.6676
85,0.75,0.85,5e3,5e4,0.6794
86,0.75,0.85,5e3,5e4,0.6786
87,0.75,0.85,5e3,5e4,0.6952
88,0.75,0.85,5e3,5e4,0.6872
89,0.75,0.85,5e3,5e4,0.6916
90,0.75,0.85,5e3,5e4,0.6814
91,0.75,0.85,5e3,5e4,0.7054
92,0.75,0.85,5e3,5e4,0.7028
93,0.75,0.85,5e3,5e4,0.7166
94,0.75,0.85,5e3,5e4,0.7178
95,0.75,0.85,5e3,5e4,0.7086
96,0.75,0.85,5e3,5e4,0.7214
97,0.75,0.85,5e3,5e4,0.72
98,0.75,0.85,5e3,5e4,0.723
99,0.75,0.85,5e3,5e4,0.7172
100,0.75,0.85,5e3,5e4,0.7332
2,0.75,1,5e3,5e4,0.8598
3,0.75,1,5e3,5e4,0.8048
4,0.75,1,5e3,5e4,0.7942
5,0.75,1,5e3,5e4,0.794
6,0.75,1,5e3,5e4,0.7806
7,0.75,1,5e3,5e4,0.8278
8,0.75,1,5e3,5e4,0.8368
9,0.75,1,5e3,5e4,0.8478
10,0.75,1,5e3,5e4,0.856
11,0.75,1,5e3,5e4,0.8782
12,0.75,1,5e3,5e4,0.8854
13,0.75,1,5e3,5e4,0.8976
14,0.75,1,5e3,5e4,0.9128
15,0.75,1,5e3,5e4,0.9242
16,0.75,1,5e3,5e4,0.9306
17,0.75,1,5e3,5e4,0.9406
18,0.75,1,5e3,5e4,0.9492
19,0.75,1,5e3,5e4,0.9498
20,0.75,1,5e3,5e4,0.9568
21,0.75,1,5e3,5e4,0.969
22,0.75,1,5e3,5e4,0.9668
23,0.75,1,5e3,5e4,0.9748
24,0.75,1,5e3,5e4,0.9712
25,0.75,1,5e3,5e4,0.9784
26,0.75,1,5e3,5e4,0.9778
27,0.75,1,5e3,5e4,0.982
28,0.75,1,5e3,5e4,0.9864
29,0.75,1,5e3,5e4,0.9848
30,0.75,1,5e3,5e4,0.988
31,0.75,1,5e3,5e4,0.9926
32,0.75,1,5e3,5e4,0.9878
33,0.75,1,5e3,5e4,0.995
34,0.75,1,5e3,5e4,0.993
35,0.75,1,5e3,5e4,0.9956
36,0.75,1,5e3,5e4,0.995
37,0.75,1,5e3,5e4,0.995
38,0.75,1,5e3,5e4,0.9964
39,0.75,1,5e3,5e4,0.9968
40,0.75,1,5e3,5e4,0.9974
41,0.75,1,5e3,5e4,0.9982
42,0.75,1,5e3,5e4,0.9982
43,0.75,1,5e3,5e4,0.9992
44,0.75,1,5e3,5e4,0.9982
45,0.75,1,5e3,5e4,0.9992
46,0.75,1,5e3,5e4,0.9992
47,0.75,1,5e3,5e4,0.9992
48,0.75,1,5e3,5e4,0.9998
49,0.75,1,5e3,5e4,0.9988
50,0.75,1,5e3,5e4,0.9998
51,0.75,1,5e3,5e4,0.999
52,0.75,1,5e3,5e4,0.9998
53,0.75,1,5e3,5e4,0.9998
54,0.75,1,5e3,5e4,0.9992
55,0.75,1,5e3,5e4,1
56,0.75,1,5e3,5e4,1
57,0.75,1,5e3,5e4,1
58,0.75,1,5e3,5e4,0.9998
59,0.75,1,5e3,5e4,0.9998
60,0.75,1,5e3,5e4,1
61,0.75,1,5e3,5e4,1
62,0.75,1,5e3,5e4,1
63,0.75,1,5e3,5e4,1
64,0.75,1,5e3,5e4,1
65,0.75,1,5e3,5e4,1
66,0.75,1,5e3,5e4,1
67,0.75,1,5e3,5e4,1
68,0.75,1,5e3,5e4,1
69,0.75,1,5e3,5e4,1
70,0.75,1,5e3,5e4,1
71,0.75,1,5e3,5e4,1
72,0.75,1,5e3,5e4,1
73,0.75,1,5e3,5e4,1
74,0.75,1,5e3,5e4,0.9998
75,0.75,1,5e3,5e4,1
76,0.75,1,5e3,5e4,1
77,0.75,1,5e3,5e4,1
78,0.75,1,5e3,5e4,1
79,0.75,1,5e3,5e4,1
80,0.75,1,5e3,5e4,1
81,0.75,1,5e3,5e4,1
82,0.75,1,5e3,5e4,1
83,0.75,1,5e3,5e4,1
84,0.75,1,5e3,5e4,1
85,0.75,1,5e3,5e4,1
86,0.75,1,5e3,5e4,1
87,0.75,1,5e3,5e4,1
88,0.75,1,5e3,5e4,1
89,0.75,1,5e3,5e4,1
90,0.75,1,5e3,5e4,1
91,0.75,1,5e3,5e4,1
92,0.75,1,5e3,5e4,1
93,0.75,1,5e3,5e4,1
94,0.75,1,5e3,5e4,1
95,0.75,1,5e3,5e4,1
96,0.75,1,5e3,5e4,1
97,0.75,1,5e3,5e4,1
98,0.75,1,5e3,5e4,1
99,0.75,1,5e3,5e4,1
100,0.75,1,5e3,5e4,1
2,0.8,0.85,5e3,5e4,0.4334
3,0.8,0.85,5e3,5e4,0.2578
4,0.8,0.85,5e3,5e4,0.168
5,0.8,0.85,5e3,5e4,0.1182
6,0.8,0.85,5e3,5e4,0.0888
7,0.8,0.85,5e3,5e4,0.076
8,0.8,0.85,5e3,5e4,0.0716
9,0.8,0.85,5e3,5e4,0.0608
10,0.8,0.85,5e3,5e4,0.0538
11,0.8,0.85,5e3,5e4,0.0516
12,0.8,0.85,5e3,5e4,0.0506
13,0.8,0.85,5e3,5e4,0.0474
14,0.8,0.85,5e3,5e4,0.0456
15,0.8,0.85,5e3,5e4,0.0454
16,0.8,0.85,5e3,5e4,0.044
17,0.8,0.85,5e3,5e4,0.0444
18,0.8,0.85,5e3,5e4,0.0458
19,0.8,0.85,5e3,5e4,0.0422
20,0.8,0.85,5e3,5e4,0.0488
21,0.8,0.85,5e3,5e4,0.0378
22,0.8,0.85,5e3,5e4,0.0406
23,0.8,0.85,5e3,5e4,0.0414
24,0.8,0.85,5e3,5e4,0.0398
25,0.8,0.85,5e3,5e4,0.04
26,0.8,0.85,5e3,5e4,0.0388
27,0.8,0.85,5e3,5e4,0.039
28,0.8,0.85,5e3,5e4,0.036
29,0.8,0.85,5e3,5e4,0.0374
30,0.8,0.85,5e3,5e4,0.0362
31,0.8,0.85,5e3,5e4,0.0348
32,0.8,0.85,5e3,5e4,0.0356
33,0.8,0.85,5e3,5e4,0.038
34,0.8,0.85,5e3,5e4,0.0344
35,0.8,0.85,5e3,5e4,0.0376
36,0.8,0.85,5e3,5e4,0.032
37,0.8,0.85,5e3,5e4,0.0346
38,0.8,0.85,5e3,5e4,0.0332
39,0.8,0.85,5e3,5e4,0.0292
40,0.8,0.85,5e3,5e4,0.0284
41,0.8,0.85,5e3,5e4,0.0326
42,0.8,0.85,5e3,5e4,0.0302
43,0.8,0.85,5e3,5e4,0.032
44,0.8,0.85,5e3,5e4,0.0308
45,0.8,0.85,5e3,5e4,0.0308
46,0.8,0.85,5e3,5e4,0.0276
47,0.8,0.85,5e3,5e4,0.032
48,0.8,0.85,5e3,5e4,0.0278
49,0.8,0.85,5e3,5e4,0.0296
50,0.8,0.85,5e3,5e4,0.0274
51,0.8,0.85,5e3,5e4,0.0286
52,0.8,0.85,5e3,5e4,0.0316
53,0.8,0.85,5e3,5e4,0.0306
54,0.8,0.85,5e3,5e4,0.0252
55,0.8,0.85,5e3,5e4,0.0264
56,0.8,0.85,5e3,5e4,0.0272
57,0.8,0.85,5e3,5e4,0.0278
58,0.8,0.85,5e3,5e4,0.0266
59,0.8,0.85,5e3,5e4,0.0234
60,0.8,0.85,5e3,5e4,0.0276
61,0.8,0.85,5e3,5e4,0.0234
62,0.8,0.85,5e3,5e4,0.0244
63,0.8,0.85,5e3,5e4,0.0208
64,0.8,0.85,5e3,5e4,0.0228
65,0.8,0.85,5e3,5e4,0.0236
66,0.8,0.85,5e3,5e4,0.0232
67,0.8,0.85,5e3,5e4,0.0212
68,0.8,0.85,5e3,5e4,0.0238
69,0.8,0.85,5e3,5e4,0.0206
70,0.8,0.85,5e3,5e4,0.0258
71,0.8,0.85,5e3,5e4,0.0212
72,0.8,0.85,5e3,5e4,0.0226
73,0.8,0.85,5e3,5e4,0.018
74,0.8,0.85,5e3,5e4,0.0194
75,0.8,0.85,5e3,5e4,0.0194
76,0.8,0.85,5e3,5e4,0.0158
77,0.8,0.85,5e3,5e4,0.0212
78,0.8,0.85,5e3,5e4,0.0214
79,0.8,0.85,5e3,5e4,0.018
80,0.8,0.85,5e3,5e4,0.0186
81,0.8,0.85,5e3,5e4,0.0216
82,0.8,0.85,5e3,5e4,0.0172
83,0.8,0.85,5e3,5e4,0.0194
84,0.8,0.85,5e3,5e4,0.0176
85,0.8,0.85,5e3,5e4,0.0176
86,0.8,0.85,5e3,5e4,0.015
87,0.8,0.85,5e3,5e4,0.0196
88,0.8,0.85,5e3,5e4,0.0206
89,0.8,0.85,5e3,5e4,0.014
90,0.8,0.85,5e3,5e4,0.017
91,0.8,0.85,5e3,5e4,0.0158
92,0.8,0.85,5e3,5e4,0.0158
93,0.8,0.85,5e3,5e4,0.0136
94,0.8,0.85,5e3,5e4,0.0124
95,0.8,0.85,5e3,5e4,0.0176
96,0.8,0.85,5e3,5e4,0.0164
97,0.8,0.85,5e3,5e4,0.0174
98,0.8,0.85,5e3,5e4,0.0146
99,0.8,0.85,5e3,5e4,0.0164
100,0.8,0.85,5e3,5e4,0.0166
2,0.8,1,5e3,5e4,0.8294
3,0.8,1,5e3,5e4,0.7468
4,0.8,1,5e3,5e4,0.7058
5,0.8,1,5e3,5e4,0.6856
6,0.8,1,5e3,5e4,0.6628
7,0.8,1,5e3,5e4,0.6962
8,0.8,1,5e3,5e4,0.6938
9,0.8,1,5e3,5e4,0.7078
10,0.8,1,5e3,5e4,0.7026
11,0.8,1,5e3,5e4,0.73
12,0.8,1,5e3,5e4,0.7304
13,0.8,1,5e3,5e4,0.7356
14,0.8,1,5e3,5e4,0.7732
15,0.8,1,5e3,5e4,0.7654
16,0.8,1,5e3,5e4,0.7752
17,0.8,1,5e3,5e4,0.791
18,0.8,1,5e3,5e4,0.7916
19,0.8,1,5e3,5e4,0.8124
20,0.8,1,5e3,5e4,0.813
21,0.8,1,5e3,5e4,0.8252
22,0.8,1,5e3,5e4,0.8326
23,0.8,1,5e3,5e4,0.834
24,0.8,1,5e3,5e4,0.8458
25,0.8,1,5e3,5e4,0.8514
26,0.8,1,5e3,5e4,0.8536
27,0.8,1,5e3,5e4,0.859
28,0.8,1,5e3,5e4,0.869
29,0.8,1,5e3,5e4,0.8708
30,0.8,1,5e3,5e4,0.878
31,0.8,1,5e3,5e4,0.883
32,0.8,1,5e3,5e4,0.8898
33,0.8,1,5e3,5e4,0.9046
34,0.8,1,5e3,5e4,0.901
35,0.8,1,5e3,5e4,0.9058
36,0.8,1,5e3,5e4,0.9062
37,0.8,1,5e3,5e4,0.9166
38,0.8,1,5e3,5e4,0.9164
39,0.8,1,5e3,5e4,0.9234
40,0.8,1,5e3,5e4,0.9286
41,0.8,1,5e3,5e4,0.9346
